Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2014012110966,14-Jan-14,24-Mar-13,SJU,Luis Munoz Marin International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches,-,-
2014020511466,1-Feb-14,15-Dec-13,JFK,John F. Kennedy International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014030712266,6-Mar-14,28-Feb-14,HNL,Honolulu International Airport,Air New Zealand,Passenger Property Loss,Checked Baggage,-,-,-
2014031712557,17-Mar-14,24-Oct-13,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checkpoint,Clothing,-,-
2014051914019,12-May-14,18-Apr-14,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2014052114119,19-May-14,29-Apr-14,DSM,Des Moines International,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,-,-
2014060314389,30-May-14,25-Feb-14,EWR,Newark International Airport,-,Personal Injury,Checkpoint,-,-,-
2014062514889,23-Jun-14,10-Jun-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014071615189,1-Jul-14,27-Jun-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014081815986,28-Jul-14,4-May-14,SFO,San Francisco International,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014082916319,14-Aug-14,19-Jul-14,JFK,John F. Kennedy International,Virgin Atlantic,Property Damage,Checkpoint,Computer & Accessories,-,-
2014090416419,19-Aug-14,28-Jul-14,MEM,Memphis International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2014091516597,20-Aug-14,28-Jul-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2014092617097,14-Sep-14,30-Aug-14,PHX,Phoenix Sky Harbor International,American Airlines  ,Property Damage,Checked Baggage,Medical/Science,-,-
2014093017197,12-Sep-14,10-Sep-14,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014100217297,22-Sep-14,15-Sep-14,PHX,Phoenix Sky Harbor International,UAL  ,Personal Injury,Checkpoint,Other,-,-
2014100617397,25-Sep-14,29-Aug-14,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014100817497,29-Sep-14,24-Aug-14,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014101617697,8-Oct-14,3-Oct-14,MIA,Miami International Airport,Aero Flot,Property Damage,Checked Baggage,Other,-,-
2014102117897,7-Oct-14,15-Aug-14,SIT,Sitka 'Rocky Guitierrez',Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink,-,-
2014103018097,24-Oct-14,11-Oct-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014110418197,30-Oct-14,27-Aug-14,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014111018297,2-Nov-14,24-Oct-14,PIE,St. Petersburg-Clearwater International,Sun Country Airlines Inc  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014111718384,4-Nov-14,5-Sep-14,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming; Cosmetics & Grooming,-,-
2014112418525,14-Nov-14,7-Nov-14,EWR,Newark International Airport,Air Canada,Passenger Property Loss,Checkpoint,Currency,-,-
2014112618625,24-Nov-14,24-Nov-14,SNA,John Wayne,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2014112818725,24-Nov-14,17-Nov-14,SRQ,Sarasota Bradenton International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,-,-
2014120218807,16-Nov-14,10-Nov-14,MYR,Myrtle Beach International,Spirit Airlines,Property Damage,Checkpoint,Personal Accessories,-,-
2014120819007,2-Dec-14,29-Nov-14,BUR,Bob Hope ,Southwest Airlines  ,Property Damage,Checked Baggage,-,-,-
2014121019103,10-Dec-14,7-Nov-14,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines  ,Property Damage,Checkpoint,Other,-,-
2014121519203,15-Dec-14,12-Dec-14,SFO,San Francisco International,American Airlines  ,Property Damage,Checked Baggage,Clothing,-,-
2014121819303,18-Dec-14,12-Dec-14,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,-,-
2014122919401,29-Dec-14,13-Dec-14,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2015010219501,31-Dec-14,3-Aug-14,DCA,Ronald Reagan Washington National Airport,USAir  ,Passenger Property Loss,Checked Baggage,-,-,-
2013082906390,3-Jul-14,23-Jul-13,BNA,Nashville International,Southwest Airlines  ,Personal Injury,Checkpoint,Other,-,-
2013082906401,24-Feb-14,25-May-13,PHX,Phoenix Sky Harbor International,USAir  ,Personal Injury,Checkpoint,-,-,-
2013102507888,14-Feb-14,13-Jul-12,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Personal Injury,Checkpoint,-,-,-
2013103108490,22-May-14,26-Sep-13,ZZX,Non TSA Airport (motor vehicle),-,Personal Injury,Motor Vehicle,-,-,-
2013121110011,21-Jul-14,15-May-13,JAX,Jacksonville International,-,Personal Injury,Checkpoint,-,-,-
2014010710522,2-Jan-14,21-Dec-12,RAP,Rapid City Regional,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,-,-
2014010710551,2-Jan-14,17-Dec-13,SAT,San Antonio International,American Airlines  ,Passenger Property Loss,Checkpoint,Medical/Science,-,-
2014010710555,2-Jan-14,5-Dec-13,MIA,Miami International Airport,-,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014010710561,2-Jan-14,11-Dec-13,BTR,Baton Rouge Metropolitan,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2014010710570,2-Jan-14,20-Dec-13,HOU,William P. Hobby,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Other,-,-
2014010710572,3-Jan-14,23-Dec-13,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014010710574,2-Jan-14,8-Nov-13,MCO,Orlando International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014010710600,2-Jan-14,1-Dec-13,PHL,Philadelphia International Airport,-,Passenger Property Loss,Checkpoint,Clothing,-,-
2014010810604,5-Jan-14,1-Jan-14,LAX,Los Angeles International Airport ,Sun Country Airlines Inc  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2014010810608,2-Jan-14,27-Dec-13,CLT,Charlotte/Douglas International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014010810628,6-Jan-14,3-Jan-14,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
2014010810629,6-Jan-14,1-Jan-14,JFK,John F. Kennedy International,Turkish Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014010810652,6-Jan-14,22-Dec-13,MIA,Miami International Airport,USAir  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2014010910660,6-Jan-14,27-Dec-13,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,-,Checkpoint,Other,-,-
2014010910663,2-Jan-14,28-Dec-13,-,-,-,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,-
2014010910669,2-Jan-14,6-Oct-13,SAN,San Diego International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014010910676,4-Jan-14,20-Dec-13,RSW,Southwest Florida International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014010910678,6-Jan-14,25-Dec-13,AVP,Wilkes-Barre/Scranton International,UAL  ,Passenger Property Loss,Checkpoint,Cameras,-,-
2014010910685,6-Jan-14,16-Dec-13,ATL,Hartsfield-Jackson Atlanta International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014010910695,3-Jan-14,30-Nov-13,SEA,Seattle-Tacoma International,Virgin America,Property Damage,Checked Baggage,Computer & Accessories,-,-
2014010910698,7-Jan-14,5-Jan-14,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Personal Accessories,-,-
2014010910700,8-Jan-14,16-Dec-13,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checkpoint,Office Equipment & Supplies,-,-
2014010910702,3-Jan-14,13-Dec-13,MIA,Miami International Airport,American Airlines  ,-,Checked Baggage,Baggage/Cases/Purses,-,-
2014011010705,6-Jan-14,21-Dec-13,MIA,Miami International Airport,Cayman Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,-,-
2014011010713,6-Jan-14,1-Jan-14,SEA,Seattle-Tacoma International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014011010716,7-Jan-14,3-Aug-13,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checked Baggage,Other,-,-
2014011010725,10-Jan-14,29-Dec-13,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014011010730,7-Jan-14,17-Nov-13,SMF,Sacramento International Airport,-,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014011010731,7-Jan-14,9-Dec-13,ROC,Greater Rochester International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014011010737,7-Jan-14,23-Dec-13,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,-,-,-
2014011310751,6-Jan-14,3-Jan-14,EGE,Eagle County Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014011310773,8-Jan-14,14-Dec-13,MCI,Kansas City International,America West  ,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2014011310775,8-Jan-14,28-Dec-13,SDF,Louisville International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2014011310789,8-Jan-14,3-Jan-14,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Computer & Accessories,-,-
2014011410805,8-Jan-14,21-Nov-13,LAS,McCarran International,Delta Air Lines  ,Property Damage,Checkpoint,Other,-,-
2014011410813,10-Jan-14,2-Jan-14,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014011410819,9-Jan-14,12-Mar-13,CLT,Charlotte/Douglas International Airport,USAir  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2014011410825,9-Jan-14,25-Dec-13,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014011410830,9-Jan-14,23-Dec-13,SEA,Seattle-Tacoma International,Alaska Airlines  ,Property Damage,Checked Baggage,Food & Drink,-,-
2014011410841,14-Jan-14,11-Dec-13,-,-,Jet Blue,Property Damage,Checked Baggage,-,-,-
2014011410842,14-Jan-14,14-Jan-14,ABQ,Albuquerque International Sunport Airport,Frontier Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,-
2014011510852,8-Jan-14,26-May-13,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014011510856,10-Jan-14,3-Jan-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checked Baggage,Personal Electronics,-,-
2014011510860,8-Jan-14,13-Aug-13,PDX,Portland International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2014011510862,10-Jan-14,5-Jan-14,F,Foreign airport,British Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014011510863,8-Jan-14,18-Dec-13,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014011510865,8-Jan-14,28-Dec-13,PHL,Philadelphia International Airport,USAir  ,Passenger Property Loss,Checked Baggage,-,-,-
2014011610876,8-Jan-14,16-Dec-13,GRB,Austin Straubel International,Delta Air Lines  ,Property Damage,Checked Baggage,-,-,-
2014011610888,8-Jan-14,21-Dec-13,ATL,Hartsfield-Jackson Atlanta International Airport,-,Passenger Property Loss,Checkpoint,Cameras,-,-
2014011610889,8-Jan-14,31-Dec-13,ORF,Norfolk International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2014011610892,13-Jan-14,5-Jan-14,ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014011610898,16-Jan-14,20-Dec-13,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014011710916,13-Jan-14,20-Dec-13,BOS,Boston (Logan) International Airport ,UAL  ,Passenger Property Loss,Checkpoint,Personal Electronics,-,-
2014011710918,17-Jan-14,17-Sep-13,-,-,-,Property Damage,Checked Baggage,Computer & Accessories,-,-
2014011710919,14-Jan-14,1-Dec-13,BUF,Buffalo Niagara International,Cathay Pacific - CX,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2014012110957,15-Jan-14,3-Dec-13,ORF,Norfolk International,Delta Air Lines  ,Property Damage,Checked Baggage,-,-,-
2014012110958,15-Jan-14,19-Dec-13,TLH,Tallahassee Regional,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,-
2014012110961,14-Jan-14,7-Nov-13,OWB,Owensboro Daviess County,-,Passenger Property Loss,Checked Baggage,Currency; Personal Electronics,-,-
2014012110965,15-Jan-14,3-Dec-13,GLH,Mid Delta Regional,Delta Air Lines  ,Property Damage,Checkpoint,Clothing; Cosmetics & Grooming,-,-
2014012110967,15-Jan-14,29-Dec-13,MSY,New Orleans International,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,-,-
2014012110968,15-Jan-14,6-Jan-14,EWR,Newark International Airport,Swiss Air  ,Passenger Property Loss,Checkpoint,Cameras,-,-
2014012110970,15-Jan-14,2-Dec-13,DHN,Dothan Regional Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Computer & Accessories,-,-
2014012110974,14-Jan-14,6-Jan-14,SNA,John Wayne,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,-
2014012110975,14-Jan-14,9-Jan-14,BOS,Boston (Logan) International Airport ,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014012211027,11-Jan-14,8-Jan-14,SJU,Luis Munoz Marin International,Jet Blue,Passenger Property Loss,Checked Baggage,Currency,-,-
2014012211033,13-Jan-14,1-Jan-14,SAT,San Antonio International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014012211035,15-Jan-14,9-Jan-14,JFK,John F. Kennedy International,Turkish Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014012211041,15-Jan-14,3-Jan-13,BJI,"Bemidji, MN",Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2014012211042,16-Jan-14,10-Dec-13,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checked Baggage,Other,-,-
2014012211043,16-Jan-14,21-Dec-13,JFK,John F. Kennedy International,Pakistan International Airlines Cor  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2014012211050,16-Jan-14,17-Oct-13,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,-,-,-
2014012211054,16-Jan-14,6-Jan-14,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2014012311070,14-Jan-14,1-Dec-13,ATL,Hartsfield-Jackson Atlanta International Airport,-,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
2014012311084,20-Jan-14,15-Jan-14,MSY,New Orleans International,USAir  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014012311085,20-Jan-14,16-Jan-14,MIA,Miami International Airport,Air Berlin,Passenger Property Loss,Checked Baggage,Audio/Video,-,-
2014012311091,20-Jan-14,9-Jan-14,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2014012311092,16-Jan-14,20-Nov-13,LAX,Los Angeles International Airport ,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2014012411099,16-Jan-14,6-Dec-13,MSN,Dane County Regional (Madison),Frontier Airlines,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2014012411106,22-Jan-14,19-Jan-14,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014012411118,22-Jan-14,20-Jul-13,MKE,General Mitchell International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2014012411119,22-Jan-14,8-Jan-14,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checkpoint,-,-,-
2014012411120,20-Jan-14,17-Jan-14,MIA,Miami International Airport,Copa Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014012411129,22-Jan-14,13-Jan-14,-,-,-,-,-,Personal Electronics,-,-
2014012711132,22-Jan-14,20-Dec-13,GSO,Piedmont Triad International Airport,Frontier Airlines,Passenger Property Loss,Checkpoint,Currency; Other,-,-
2014012711146,23-Jan-14,19-Jan-14,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,Food & Drink,-,-
2014012711153,22-Jan-14,6-Jan-14,FLL,Ft. Lauderdale-Hollywood International,-,Property Damage,Checked Baggage,Clothing,-,-
2014012711158,23-Jan-14,24-Dec-13,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Other,-,-
2014012711159,23-Jan-14,12-Dec-13,JFK,John F. Kennedy International,Jet Blue,-,-,-,-,-
2014012711160,17-Jan-14,21-Dec-13,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checked Baggage,Clothing,-,-
2014012711162,17-Jan-14,2-Jan-14,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014012811186,22-Jan-14,6-Jan-14,DAL,Dallas Love Field,Southwest Airlines  ,Personal Injury,Checked Baggage,Cosmetics & Grooming; Jewelry & Watches; Other; Personal Electronics,-,-
2014012811189,28-Jan-14,3-Jan-14,SLC,Salt Lake City International Airport,Frontier Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
2014012811191,20-Jan-14,24-Oct-13,BOS,Boston (Logan) International Airport ,British Airways  ,Passenger Property Loss,Checked Baggage,Other,-,-
2014012811195,28-Jan-14,28-Jan-14,BWI,Baltimore/Washington Intl Thurgood Marshall,British Airways  ,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014012811214,27-Jan-14,23-Jan-14,PHX,Phoenix Sky Harbor International,USAir  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2014012811215,24-Jan-14,4-Nov-13,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014012811226,27-Jan-14,25-Jan-14,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,-,-,-
2014012911236,23-Jan-14,11-Jan-14,HNL,Honolulu International Airport,UAL  ,Passenger Property Loss,Checked Baggage,-,-,-
2014012911255,23-Jan-14,12-Dec-13,PHX,Phoenix Sky Harbor International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Other,-,-
2014012911259,23-Jan-14,14-Dec-13,ZZX,Non TSA Airport (motor vehicle),-,Motor Vehicle,Motor Vehicle,-,-,-
2014012911260,23-Jan-14,20-Dec-13,SFO,San Francisco International,UAL  ,Property Damage,Checked Baggage,-,-,-
2014013011265,24-Jan-14,8-Jan-14,LGA,LaGuardia ,UAL  ,Passenger Property Loss,Checked Baggage,Clothing; Other; Other,-,-
2014013011276,27-Jan-14,21-Dec-13,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014013011281,30-Jan-14,22-Jan-14,ONT,Ontario International,-,Property Damage,Checkpoint,Clothing,-,-
2014013011282,27-Jan-14,30-Dec-13,SMF,Sacramento International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,-
2014013011287,27-Jan-14,9-Dec-13,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,Cameras; Cameras,-,-
2014013011294,27-Jan-14,29-Dec-13,MDW,Midway International Airport,American Airlines  ,Property Damage,Checked Baggage,Home Decor,-,-
2014013011298,28-Jan-14,21-Dec-13,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014013011304,24-Jan-14,25-Sep-13,SDF,Louisville International,UAL  ,Passenger Property Loss,Checked Baggage,Other,-,-
2014013011310,24-Jan-14,22-Jan-14,MDW,Midway International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014013011316,29-Jan-14,21-Jan-14,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,-
2014013011318,29-Jan-14,5-Jan-14,BOS,Boston (Logan) International Airport ,American Airlines  ,Property Damage,Checkpoint,Clothing,-,-
2014013111331,29-Jan-14,15-Jan-14,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2014013111335,27-Jan-14,14-Jan-14,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
2014013111336,29-Jan-14,14-Dec-13,PBI,Palm Beach International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014013111340,27-Jan-14,30-Nov-13,LAX,Los Angeles International Airport ,British Airways  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2014013111341,29-Jan-14,16-Jan-14,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines  ,Property Damage,Checked Baggage,Travel Accessories,-,-
2014013111347,27-Jan-14,21-Nov-13,MSY,New Orleans International,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,-,-
2014013111348,24-Jan-14,23-Dec-13,SNA,John Wayne,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Currency,-,-
2014013111359,29-Jan-14,6-Jan-14,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,-,-
2014020311363,29-Jan-14,3-Jan-14,MIA,Miami International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2014020311368,30-Jan-14,11-Oct-13,MSY,New Orleans International,Southwest Airlines  ,Property Damage,Checkpoint,Medical/Science,-,-
2014020311371,30-Jan-14,11-Oct-13,MSY,New Orleans International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Medical/Science,-,-
2014020311372,30-Jan-14,13-Oct-13,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Medical/Science,-,-
2014020311373,30-Jan-14,13-Oct-13,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2014020311379,30-Jan-14,20-Jan-14,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Other,-,-
2014020311384,28-Jan-14,21-Nov-13,ORD,Chicago O'Hare International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014020311387,30-Jan-14,13-Jan-14,EWR,Newark International Airport,EL AL Israeli Airlines  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2014020311388,29-Jan-14,11-May-13,PVD,"TF Green Airport, Providence",Southwest Airlines  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,-
2014020311390,31-Jan-14,8-Jan-14,SAV,Savannah International,Delta Air Lines  ,Property Damage,Checked Baggage,Computer & Accessories,-,-
2014020311392,3-Feb-14,7-Oct-13,CLE,Cleveland Hopkins International,UAL  ,Passenger Property Loss,Checkpoint,Personal Accessories,-,-
2014020411397,30-Jan-14,14-Dec-13,PHL,Philadelphia International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Musical Instruments & Accessories,-,-
2014020411400,30-Jan-14,27-Jan-14,JFK,John F. Kennedy International,South African Airways  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014020411421,30-Jan-14,4-Jan-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2014020511443,5-Feb-14,30-Jan-14,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2014020511448,31-Jan-14,24-Dec-13,MIA,Miami International Airport,Avianca  ,Property Damage,Checkpoint,Personal Accessories,-,-
2014020511453,31-Jan-14,2-Jan-14,F,Foreign airport,Finnair,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,-
2014020511457,3-Feb-14,20-Nov-13,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,Cosmetics & Grooming,-,-
2014020511463,5-Feb-14,8-Jan-14,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink,-,-
2014020511469,2-Feb-14,25-Jan-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checkpoint,Personal Electronics,-,-
2014020511472,3-Feb-14,31-Jan-14,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Audio/Video,-,-
2014020511478,4-Feb-14,2-Feb-14,SFB,Orlando Sanford,Allegiant Air,Property Damage,Checked Baggage,Food & Drink,-,-
2014020511479,28-Jan-14,21-Jan-14,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checked Baggage,-,-,-
2014020511480,3-Feb-14,31-Dec-13,MSY,New Orleans International,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2014020511482,1-Feb-14,24-Jan-14,STL,Lambert St. Louis International,-,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2014020511484,31-Jan-14,2-Jan-14,GUM,Guam,UAL  ,Property Damage,-,-,-,-
2014020511493,5-Feb-14,26-Jan-14,ISP,"Long Island McArthur, Islip",Southwest Airlines  ,Passenger Property Loss,Checkpoint,Personal Accessories,-,-
2014020611512,2-Feb-14,12-Oct-13,HVN,"New Haven, CT",USAir  ,Passenger Property Loss,Other,Jewelry & Watches,-,-
2014020611515,6-Feb-14,18-Dec-13,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2014020611516,31-Jan-14,9-Jan-14,PHX,Phoenix Sky Harbor International,British Airways  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2014020611519,6-Feb-14,6-Feb-14,-,-,-,Passenger Property Loss,Checked Baggage,Food & Drink,-,-
